2016-8-7,22:39:35,::1
2016-08-07,22:49:28,::1
2016-08-07,22:50:14,::1
2016-08-07,22:50:14,::1
2016-08-07,22:50:43,::1
2016-08-07,23:02:04,::1
2016-08-07,23:02:04,::1
2016-08-07,23:02:05,::1
2016-08-07,23:02:07,::1
2016-08-07,23:04:32,::1
2016-08-07,23:05:28,::1
2016-08-07,23:08:10,::1
2016-08-07,23:12:50,::1
2016-08-07,23:12:58,::1
2016-08-07,23:16:22,::1
2016-08-07,23:16:28,::1
2016-08-07,23:38:36,::1
2016-08-08,01:58:46,::1
2016-08-08,01:59:21,::1
2016-08-08,02:00:21,::1
2016-08-08,02:00:55,::1
2016-08-08,02:01:06,::1
2016-08-08,02:03:20,::1
2016-08-08,02:03:54,::1
2016-08-08,02:04:10,::1
2016-08-08,02:04:39,::1
2016-08-08,02:04:57,::1
2016-08-08,02:05:39,::1
2016-08-08,02:05:47,::1
2016-08-08,02:06:56,::1
2016-08-08,02:07:24,::1
2016-08-08,02:07:33,::1
2016-08-08,02:07:56,::1
2016-08-08,02:08:00,::1
2016-08-08,02:08:17,::1
2016-08-08,02:10:20,::1
2016-08-08,02:10:22,::1
2016-08-08,02:11:09,::1
2016-08-08,02:11:21,::1
2016-08-08,02:11:31,::1
2016-08-08,02:12:26,::1
2016-08-08,02:12:26,::1
2016-08-08,02:12:48,::1
2016-08-08,02:12:48,::1
2016-08-08,02:12:56,::1
2016-08-08,02:12:56,::1
2016-08-08,02:13:28,::1
2016-08-08,02:13:28,::1
2016-08-08,02:13:56,::1
2016-08-08,02:24:33,::1
2016-08-08,02:26:11,::1
2016-08-08,02:26:11,::1
2016-08-08,02:26:28,::1
2016-08-08,02:26:28,::1
2016-08-08,02:26:40,::1
2016-08-08,02:26:40,::1
2016-08-08,02:26:54,::1
2016-08-08,02:26:54,::1
2016-08-08,02:26:58,::1
2016-08-08,02:30:39,::1
2016-08-08,02:31:04,::1
2016-08-08,02:31:12,::1
2016-08-08,02:31:13,::1
2016-08-08,02:31:33,::1
2016-08-08,02:37:39,::1
2016-08-08,02:37:39,::1
